id,complexity_level,problem,answer,inference_depth,relation_count,explicit_relations_count,implicit_relations_count,domain_knowledge_count,solution_steps_count
L2_032,L2_medium,小明的爸爸今年20岁，是小明年龄的2倍。8年后，爸爸的年龄是小明年龄的几倍？,1.6,4,3,2,3,2,4
L2_033,L2_medium,一个水箱可以装524升水。现在水箱里有水127升，水龙头每分钟流入16升水。需要多少分钟才能把水箱装满？,24,3,3,3,2,2,2
L2_034,L2_medium,小明的爸爸今年22岁，是小明年龄的2倍。6年后，爸爸的年龄是小明年龄的几倍？,1.6,4,3,2,3,2,4
L2_035,L2_medium,一个水箱可以装503升水。现在水箱里有水242升，水龙头每分钟流入15升水。需要多少分钟才能把水箱装满？,17,4,3,3,2,2,2
L2_036,L2_medium,一个工厂每天生产139个零件，现在有订单需要2367个零件，但工厂库存已有143个零件。需要多少天才能完成订单？,16,3,3,3,2,2,2
L2_037,L2_medium,一个工厂每天生产100个零件，现在有订单需要1786个零件，但工厂库存已有186个零件。需要多少天才能完成订单？,16,3,3,3,2,2,2
L2_038,L2_medium,一个工厂每天生产93个零件，现在有订单需要987个零件，但工厂库存已有243个零件。需要多少天才能完成订单？,8,4,3,3,2,2,2
L2_039,L2_medium,小明的爸爸今年18岁，是小明年龄的2倍。3年后，爸爸的年龄是小明年龄的几倍？,1.8,3,3,2,3,2,4
L2_040,L2_medium,一个水箱可以装776升水。现在水箱里有水164升，水龙头每分钟流入19升水。需要多少分钟才能把水箱装满？,32,3,3,3,2,2,2
L2_041,L2_medium,一个水箱可以装722升水。现在水箱里有水200升，水龙头每分钟流入22升水。需要多少分钟才能把水箱装满？,23,3,3,3,2,2,2
L2_042,L2_medium,一个工厂每天生产108个零件，现在有订单需要2201个零件，但工厂库存已有257个零件。需要多少天才能完成订单？,18,4,3,3,2,2,2
L2_043,L2_medium,小明的爸爸今年33岁，是小明年龄的3倍。3年后，爸爸的年龄是小明年龄的几倍？,2.6,3,3,2,3,2,4
L2_044,L2_medium,一个水箱可以装730升水。现在水箱里有水197升，水龙头每分钟流入17升水。需要多少分钟才能把水箱装满？,31,3,3,3,2,2,2
L2_045,L2_medium,一个水箱可以装682升水。现在水箱里有水203升，水龙头每分钟流入20升水。需要多少分钟才能把水箱装满？,23,4,3,3,2,2,2
L2_046,L2_medium,一个工厂每天生产126个零件，现在有订单需要1733个零件，但工厂库存已有347个零件。需要多少天才能完成订单？,11,3,3,3,2,2,2
L2_047,L2_medium,一个水箱可以装416升水。现在水箱里有水123升，水龙头每分钟流入24升水。需要多少分钟才能把水箱装满？,12,4,3,3,2,2,2
L2_048,L2_medium,一个工厂每天生产123个零件，现在有订单需要2074个零件，但工厂库存已有352个零件。需要多少天才能完成订单？,14,4,3,3,2,2,2
L2_049,L2_medium,一个工厂每天生产129个零件，现在有订单需要1528个零件，但工厂库存已有238个零件。需要多少天才能完成订单？,10,3,3,3,2,2,2
L2_050,L2_medium,一个工厂每天生产98个零件，现在有订单需要1338个零件，但工厂库存已有358个零件。需要多少天才能完成订单？,10,4,3,3,2,2,2
L2_051,L2_medium,小明的爸爸今年42岁，是小明年龄的3倍。5年后，爸爸的年龄是小明年龄的几倍？,2.5,3,3,2,3,2,4
L2_052,L2_medium,一个工厂每天生产130个零件，现在有订单需要1317个零件，但工厂库存已有277个零件。需要多少天才能完成订单？,8,3,3,3,2,2,2
L2_053,L2_medium,一个水箱可以装545升水。现在水箱里有水271升，水龙头每分钟流入23升水。需要多少分钟才能把水箱装满？,11,3,3,3,2,2,2
L2_054,L2_medium,小明的爸爸今年36岁，是小明年龄的3倍。5年后，爸爸的年龄是小明年龄的几倍？,2.4,3,3,2,3,2,4
L2_055,L2_medium,一个水箱可以装486升水。现在水箱里有水176升，水龙头每分钟流入20升水。需要多少分钟才能把水箱装满？,15,3,3,3,2,2,2
L2_056,L2_medium,一个工厂每天生产132个零件，现在有订单需要1947个零件，但工厂库存已有231个零件。需要多少天才能完成订单？,13,4,3,3,2,2,2
L2_057,L2_medium,一个水箱可以装578升水。现在水箱里有水233升，水龙头每分钟流入19升水。需要多少分钟才能把水箱装满？,18,4,3,3,2,2,2
L2_058,L2_medium,一个水箱可以装546升水。现在水箱里有水230升，水龙头每分钟流入19升水。需要多少分钟才能把水箱装满？,16,4,3,3,2,2,2
L2_059,L2_medium,一个水箱可以装537升水。现在水箱里有水207升，水龙头每分钟流入12升水。需要多少分钟才能把水箱装满？,27,3,3,3,2,2,2
L2_060,L2_medium,一个水箱可以装615升水。现在水箱里有水107升，水龙头每分钟流入16升水。需要多少分钟才能把水箱装满？,31,4,3,3,2,2,2
L2_061,L2_medium,一个水箱可以装707升水。现在水箱里有水189升，水龙头每分钟流入18升水。需要多少分钟才能把水箱装满？,28,4,3,3,2,2,2
L2_062,L2_medium,一个水箱可以装510升水。现在水箱里有水159升，水龙头每分钟流入23升水。需要多少分钟才能把水箱装满？,15,4,3,3,2,2,2
L2_063,L2_medium,一个工厂每天生产118个零件，现在有订单需要2183个零件，但工厂库存已有295个零件。需要多少天才能完成订单？,16,4,3,3,2,2,2
L2_064,L2_medium,一个工厂每天生产113个零件，现在有订单需要2206个零件，但工厂库存已有398个零件。需要多少天才能完成订单？,16,3,3,3,2,2,2
L2_065,L2_medium,一个水箱可以装542升水。现在水箱里有水213升，水龙头每分钟流入10升水。需要多少分钟才能把水箱装满？,32,3,3,3,2,2,2
L2_066,L2_medium,一个工厂每天生产94个零件，现在有订单需要1566个零件，但工厂库存已有156个零件。需要多少天才能完成订单？,15,4,3,3,2,2,2
L2_067,L2_medium,一个水箱可以装462升水。现在水箱里有水161升，水龙头每分钟流入18升水。需要多少分钟才能把水箱装满？,16,4,3,3,2,2,2
L2_068,L2_medium,一个工厂每天生产114个零件，现在有订单需要2328个零件，但工厂库存已有162个零件。需要多少天才能完成订单？,19,3,3,3,2,2,2
L2_069,L2_medium,一个工厂每天生产128个零件，现在有订单需要1553个零件，但工厂库存已有145个零件。需要多少天才能完成订单？,11,3,3,3,2,2,2
L2_070,L2_medium,一个工厂每天生产125个零件，现在有订单需要1813个零件，但工厂库存已有188个零件。需要多少天才能完成订单？,13,3,3,3,2,2,2
L2_071,L2_medium,一个水箱可以装498升水。现在水箱里有水189升，水龙头每分钟流入24升水。需要多少分钟才能把水箱装满？,12,3,3,3,2,2,2
L2_072,L2_medium,一个工厂每天生产125个零件，现在有订单需要1739个零件，但工厂库存已有114个零件。需要多少天才能完成订单？,13,3,3,3,2,2,2
L2_073,L2_medium,一个水箱可以装598升水。现在水箱里有水258升，水龙头每分钟流入12升水。需要多少分钟才能把水箱装满？,28,3,3,3,2,2,2
L2_074,L2_medium,小明的爸爸今年36岁，是小明年龄的4倍。3年后，爸爸的年龄是小明年龄的几倍？,3.2,3,3,2,3,2,4
L2_075,L2_medium,小明的爸爸今年20岁，是小明年龄的2倍。7年后，爸爸的年龄是小明年龄的几倍？,1.6,4,3,2,3,2,4
L2_076,L2_medium,一个水箱可以装556升水。现在水箱里有水256升，水龙头每分钟流入14升水。需要多少分钟才能把水箱装满？,21,3,3,3,2,2,2
L2_077,L2_medium,小明的爸爸今年24岁，是小明年龄的3倍。5年后，爸爸的年龄是小明年龄的几倍？,2.2,4,3,2,3,2,4
L2_078,L2_medium,一个工厂每天生产115个零件，现在有订单需要2241个零件，但工厂库存已有286个零件。需要多少天才能完成订单？,17,3,3,3,2,2,2
L2_079,L2_medium,一个工厂每天生产124个零件，现在有订单需要2217个零件，但工厂库存已有109个零件。需要多少天才能完成订单？,17,3,3,3,2,2,2
L2_080,L2_medium,一个水箱可以装519升水。现在水箱里有水138升，水龙头每分钟流入12升水。需要多少分钟才能把水箱装满？,31,3,3,3,2,2,2
L3_001,L3_deep,一个化学反应中，反应物A的浓度每小时减少30%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/4？,3.89,6,5,3,3,3,5
L3_002,L3_deep,一个化学反应中，反应物A的浓度每小时减少30%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/16？,7.77,5,5,3,3,3,5
L3_003,L3_deep,一个化学反应中，反应物A的浓度每小时减少25%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/16？,9.64,6,4,3,3,3,5
L3_004,L3_deep,一个圆柱形水塔，底面直径6米，高20米。如果要在水塔外表面（包括底面但不包括顶面）刷漆，每平方米需要0.5升油漆。总共需要多少升油漆？,202.6,6,4,3,4,3,4
L3_005,L3_deep,在20°C的环境中，有一块重量为224克的冰块。已知冰的融化潜热为334焦耳/克，环境每分钟向冰块传递热量55焦耳。冰块完全融化需要多少分钟？,1360,5,5,2,3,3,3
L3_006,L3_deep,在20°C的环境中，有一块重量为502克的冰块。已知冰的融化潜热为334焦耳/克，环境每分钟向冰块传递热量70焦耳。冰块完全融化需要多少分钟？,2395,6,5,2,3,3,3
L3_007,L3_deep,一个圆柱形水塔，底面直径9米，高14米。如果要在水塔外表面（包括底面但不包括顶面）刷漆，每平方米需要0.5升油漆。总共需要多少升油漆？,223.1,6,4,3,4,3,4
L3_008,L3_deep,一个化学反应中，反应物A的浓度每小时减少20%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/4？,6.21,6,5,3,3,3,5
L3_009,L3_deep,一个化学反应中，反应物A的浓度每小时减少20%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/16？,12.43,5,5,3,3,3,5
L3_010,L3_deep,一个化学反应中，反应物A的浓度每小时减少15%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/8？,12.8,5,5,3,3,3,5
L3_011,L3_deep,一个化学反应中，反应物A的浓度每小时减少20%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/16？,12.43,6,5,3,3,3,5
L3_012,L3_deep,一个化学反应中，反应物A的浓度每小时减少15%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/4？,8.53,6,4,3,3,3,5
L3_013,L3_deep,在20°C的环境中，有一块重量为514克的冰块。已知冰的融化潜热为334焦耳/克，环境每分钟向冰块传递热量75焦耳。冰块完全融化需要多少分钟？,2289,6,4,2,3,3,3
L3_014,L3_deep,一个化学反应中，反应物A的浓度每小时减少15%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/4？,8.53,6,5,3,3,3,5
L3_015,L3_deep,一个圆柱形水塔，底面直径8米，高10米。如果要在水塔外表面（包括底面但不包括顶面）刷漆，每平方米需要0.5升油漆。总共需要多少升油漆？,150.8,5,4,3,4,3,4
L3_016,L3_deep,在20°C的环境中，有一块重量为348克的冰块。已知冰的融化潜热为334焦耳/克，环境每分钟向冰块传递热量78焦耳。冰块完全融化需要多少分钟？,1490,6,4,2,3,3,3
L3_017,L3_deep,一个圆柱形水塔，底面直径10米，高15米。如果要在水塔外表面（包括底面但不包括顶面）刷漆，每平方米需要0.5升油漆。总共需要多少升油漆？,274.9,5,5,3,4,3,4
L3_018,L3_deep,一个圆柱形水塔，底面直径10米，高17米。如果要在水塔外表面（包括底面但不包括顶面）刷漆，每平方米需要0.5升油漆。总共需要多少升油漆？,306.3,5,5,3,4,3,4
L3_019,L3_deep,一个圆柱形水塔，底面直径9米，高16米。如果要在水塔外表面（包括底面但不包括顶面）刷漆，每平方米需要0.5升油漆。总共需要多少升油漆？,251.3,6,5,3,4,3,4
L3_020,L3_deep,一个化学反应中，反应物A的浓度每小时减少30%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/8？,5.83,6,5,3,3,3,5
L3_021,L3_deep,一个化学反应中，反应物A的浓度每小时减少30%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/16？,7.77,5,5,3,3,3,5
L3_022,L3_deep,一个化学反应中，反应物A的浓度每小时减少25%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/8？,7.23,6,5,3,3,3,5
L3_023,L3_deep,在20°C的环境中，有一块重量为361克的冰块。已知冰的融化潜热为334焦耳/克，环境每分钟向冰块传递热量30焦耳。冰块完全融化需要多少分钟？,4019,5,5,2,3,3,3
L3_024,L3_deep,一个化学反应中，反应物A的浓度每小时减少30%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/16？,7.77,5,5,3,3,3,5
L3_025,L3_deep,一个化学反应中，反应物A的浓度每小时减少30%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/16？,7.77,6,5,3,3,3,5
L3_026,L3_deep,在20°C的环境中，有一块重量为488克的冰块。已知冰的融化潜热为334焦耳/克，环境每分钟向冰块传递热量30焦耳。冰块完全融化需要多少分钟？,5433,6,5,2,3,3,3
L3_027,L3_deep,在20°C的环境中，有一块重量为260克的冰块。已知冰的融化潜热为334焦耳/克，环境每分钟向冰块传递热量42焦耳。冰块完全融化需要多少分钟？,2067,5,5,2,3,3,3
L3_028,L3_deep,一个化学反应中，反应物A的浓度每小时减少30%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/16？,7.77,5,4,3,3,3,5
L3_029,L3_deep,在20°C的环境中，有一块重量为747克的冰块。已知冰的融化潜热为334焦耳/克，环境每分钟向冰块传递热量58焦耳。冰块完全融化需要多少分钟？,4301,6,4,2,3,3,3
L3_030,L3_deep,在20°C的环境中，有一块重量为219克的冰块。已知冰的融化潜热为334焦耳/克，环境每分钟向冰块传递热量32焦耳。冰块完全融化需要多少分钟？,2285,5,5,2,3,3,3
L3_031,L3_deep,在20°C的环境中，有一块重量为507克的冰块。已知冰的融化潜热为334焦耳/克，环境每分钟向冰块传递热量61焦耳。冰块完全融化需要多少分钟？,2776,6,4,2,3,3,3
L3_032,L3_deep,一个化学反应中，反应物A的浓度每小时减少20%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/4？,6.21,5,4,3,3,3,5
L3_033,L3_deep,一个圆柱形水塔，底面直径8米，高18米。如果要在水塔外表面（包括底面但不包括顶面）刷漆，每平方米需要0.5升油漆。总共需要多少升油漆？,251.3,5,4,3,4,3,4
L3_034,L3_deep,在20°C的环境中，有一块重量为219克的冰块。已知冰的融化潜热为334焦耳/克，环境每分钟向冰块传递热量42焦耳。冰块完全融化需要多少分钟？,1741,5,5,2,3,3,3
L3_035,L3_deep,一个化学反应中，反应物A的浓度每小时减少30%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/16？,7.77,5,5,3,3,3,5
L3_036,L3_deep,一个圆柱形水塔，底面直径11米，高20米。如果要在水塔外表面（包括底面但不包括顶面）刷漆，每平方米需要0.5升油漆。总共需要多少升油漆？,384.8,6,5,3,4,3,4
L3_037,L3_deep,一个化学反应中，反应物A的浓度每小时减少15%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/4？,8.53,6,5,3,3,3,5
L3_038,L3_deep,一个圆柱形水塔，底面直径7米，高12米。如果要在水塔外表面（包括底面但不包括顶面）刷漆，每平方米需要0.5升油漆。总共需要多少升油漆？,146.1,5,5,3,4,3,4
L3_039,L3_deep,一个圆柱形水塔，底面直径10米，高14米。如果要在水塔外表面（包括底面但不包括顶面）刷漆，每平方米需要0.5升油漆。总共需要多少升油漆？,259.2,5,4,3,4,3,4
L3_040,L3_deep,一个化学反应中，反应物A的浓度每小时减少30%。初始浓度为100mol/L，反应进行多少小时后浓度降到初始浓度的1/8？,5.83,5,4,3,3,3,5
